site,Annual,Monthly,Daily
Cape Elizabeth,94.4305,7.869208333333333,0.258713698630137
Falmouth,328.0725,27.339375,0.8988287671232876
Freeport,121.41199999999999,10.117666666666667,0.33263561643835615
Peaks Island,38.725,3.2270833333333333,0.1060958904109589
Portland EEWTF,6129.405,510.78375,16.792890410958904
South Portland,2076.06,173.005,5.687835616438356
Westbrook,1050.236,87.51966666666668,2.8773589041095895
Yarmouth,271.227,22.602249999999998,0.7430876712328767
