Site,tn_n,tn_mn,tn_sd,tn_se
Yarmouth,20,22.101,7.664111099623257,1.7137473405868264
South Portland,23,16.321304347826086,6.042925468789424,1.2600370633152007
Freeport,6,14.233333333333334,4.753805493146167,1.9407329657746442
Portland EEWTF,18,9.394444444444444,4.866387985574495,1.1470186481614897
Falmouth,12,8.091666666666667,1.68493772926929,0.4863996257806907
"Portland EEWTF, Seasonally Weighted",18,10.729166666666666,NA,0.8479176438829898
